split,model,threshold,mse,rmse,mae,bias,r2,count
validation,seed42_baseline,11.099723815917969,52.17745341944761,7.223396252418083,5.5906995259315355,-3.689560141026972,0.1315171719695334,278508
validation,huber_delta1,11.099723815917969,58.785673824157854,7.6671816089197895,5.907285314028682,-4.00838038427083,0.021524721797706925,278508
validation,adamw_weight_decay,11.099723815917969,54.365460317684885,7.373293722461142,5.711547526624851,-3.7002979966903413,0.09509825356323531,278508
validation,learned_lag_embedding,11.099723815917969,54.46018635994045,7.379714517509498,5.653902599898567,-3.490669168273622,0.09352155834959752,278508
validation,static_film,11.099723815917969,54.97633306581023,7.414602691028713,5.641418111107141,-3.6297441169777076,0.08493040409780117,278508
validation,ndvi_nirv,11.099723815917969,50.97093376342053,7.139393094894029,5.494825376765013,-3.40805094931589,0.15159943996596625,278508
validation,layernorm_lstm,11.099723815917969,66.38486704668836,8.147690902745904,6.159447290810355,-3.7638808134991093,-0.1049622642113377,278508
validation,hist_gradient_boosting,11.099723815917969,51.98484299477669,7.210051525112473,5.488294989917267,-3.4242242620067374,0.13472313230994348,278508
validation,three_seed_ensemble,11.099723815917969,51.02045586298013,7.1428604818364,5.429839266430539,-3.5045946411283335,0.15077515494902705,278508
test,seed42,11.099723815917969,58.93107795508754,7.67665799388559,5.94472017491963,-4.768481904955644,0.05120010037400158,269070
test,seed7,11.099723815917969,54.086041532799506,7.354321282946477,5.4453425637778174,-3.843094940455714,0.12920597148083302,269070
test,seed2026,11.099723815917969,63.816637132815224,7.988531600539314,6.118011520817318,-4.917970377243797,-0.027458193658522978,269070
test,three_seed_ensemble,11.099723815917969,55.57479091052662,7.4548501601659725,5.639136078933339,-4.509849135635064,0.10523686516177722,269070
